user_id,activity_date,signup_date,country,acquisition_channel
2,2024-04-18,2024-04-02,Chile,Orgánico
3,2024-04-11,2024-01-15,México,Referido
3,2024-01-23,2024-01-15,México,Referido
3,2024-03-22,2024-01-15,México,Referido
4,2024-06-29,2024-04-16,Argentina,Pago
4,2024-05-06,2024-04-16,Argentina,Pago
5,2024-03-28,2024-03-12,Colombia,Pago
5,2024-03-29,2024-03-12,Colombia,Pago
6,2024-02-03,2024-01-21,Chile,Redes
6,2024-03-09,2024-01-21,Chile,Redes
6,2024-02-18,2024-01-21,Chile,Redes
7,2024-06-29,2024-04-12,Brasil,Referido
7,2024-05-08,2024-04-12,Brasil,Referido
7,2024-04-26,2024-04-12,Brasil,Referido
8,2024-05-26,2024-05-01,Chile,Orgánico
8,2024-05-26,2024-05-01,Chile,Orgánico
9,2024-06-19,2024-03-15,Brasil,Pago
9,2024-04-25,2024-03-15,Brasil,Pago
9,2024-04-02,2024-03-15,Brasil,Pago
10,2024-06-07,2024-03-28,Chile,Referido
10,2024-05-18,2024-03-28,Chile,Referido
11,2024-06-18,2024-04-26,Brasil,Referido
11,2024-06-26,2024-04-26,Brasil,Referido
11,2024-04-26,2024-04-26,Brasil,Referido
12,2024-06-27,2024-04-09,México,Orgánico
13,2024-06-22,2024-04-13,Brasil,Referido
13,2024-06-29,2024-04-13,Brasil,Referido
13,2024-05-25,2024-04-13,Brasil,Referido
15,2024-05-21,2024-05-10,Argentina,Referido
15,2024-06-22,2024-05-10,Argentina,Referido
15,2024-06-11,2024-05-10,Argentina,Referido
15,2024-05-22,2024-05-10,Argentina,Referido
17,2024-04-20,2024-02-22,Argentina,Orgánico
17,2024-04-07,2024-02-22,Argentina,Orgánico
17,2024-02-24,2024-02-22,Argentina,Orgánico
18,2024-02-14,2024-01-02,Colombia,Referido
18,2024-04-20,2024-01-02,Colombia,Referido
18,2024-01-07,2024-01-02,Colombia,Referido
18,2024-03-18,2024-01-02,Colombia,Referido
19,2024-06-29,2024-03-28,Argentina,Referido
20,2024-02-25,2024-02-07,México,Pago
20,2024-02-12,2024-02-07,México,Pago
21,2024-05-15,2024-05-09,Argentina,Orgánico
22,2024-01-23,2024-01-21,Colombia,Redes
22,2024-04-22,2024-01-21,Colombia,Redes
22,2024-03-30,2024-01-21,Colombia,Redes
